BASENAME,YEARS,TreeCity,RegionName,RegionType,Metro,CountyName,X2020.01.31,PLACE,STATE,POPULATION,GEOID
Ash Grove,14,1,Ash Grove,City,Springfield,Greene County,154473,02188,29,1634,2902188
Augusta,11,1,Augusta,City,St. Louis,Saint Charles County,321621,02512,29,266,2902512
Ballwin,29,1,Ballwin,City,St. Louis,Saint Louis County,304405,03160,29,30332,2903160
Bellerive Acres,2,1,NA,NA,NA,NA,NA,04248,29,170,2904248
Bel-Nor,3,1,Bel-Nor,City,St. Louis,Saint Louis County,152606,04348,29,1389,2904348
Bel-Ridge,3,1,Bel-Ridge,City,St. Louis,Saint Louis County,37078,04366,29,2718,2904366
Belton,9,1,Belton,City,Kansas City,Cass County,163702,04384,29,23348,2904384
Blue Springs,30,1,Blue Springs,City,Kansas City,Jackson County,202836,06652,29,54370,2906652
Branson,25,1,Branson,City,Branson,Taney County,178020,07966,29,11345,2907966
Brentwood,32,1,Brentwood,City,St. Louis,Saint Louis County,255885,08236,29,8023,2908236
Brookfield,6,1,Brookfield,City,,Linn County,66337,08650,29,4481,2908650
Brunswick,20,1,Brunswick,City,,Chariton County,137076,09046,29,854,2909046
Cameron,1,1,Cameron,City,Kansas City,Clinton County,144590,10828,29,9665,2910828
Cape Girardeau,22,1,Cape Girardeau,City,Cape Girardeau,Cape Girardeau County,142928,11242,29,39323,2911242
Carthage,21,1,Carthage,City,Joplin,Jasper County,106426,11656,29,14690,2911656
Centralia,30,1,Centralia,City,Columbia,Boone County,153855,12898,29,4207,2912898
Chesterfield,23,1,Chesterfield,City,St. Louis,Saint Louis County,409138,13600,29,47663,2913600
Clayton,28,1,Clayton,City,St. Louis,Saint Louis County,875221,14572,29,16448,2914572
Columbia,23,1,Columbia,City,Columbia,Boone County,195481,15670,29,120248,2915670
Crestwood,25,1,Crestwood,City,St. Louis,Saint Louis County,238216,17218,29,11881,2917218
Creve Coeur,23,1,Creve Coeur,City,St. Louis,Saint Louis County,506238,17272,29,18445,2917272
Cuba,7,1,Cuba,City,,Crawford County,149556,17668,29,3340,2917668
Dardenne Prairie,12,1,Dardenne Prairie,City,St. Louis,Saint Charles County,337143,18253,29,13139,2918253
Des Peres,37,1,Des Peres,City,St. Louis,Saint Louis County,464978,19270,29,8567,2919270
Dexter,27,1,Dexter,City,,Stoddard County,105357,19396,29,7885,2919396
Ellisville,39,1,Ellisville,City,St. Louis,Saint Louis County,294853,21898,29,9581,2921898
Elsberry,5,1,Elsberry,City,St. Louis,Lincoln County,116900,22114,29,1958,2922114
Eureka,14,1,Eureka,City,St. Louis,Saint Louis County,277022,22834,29,10575,2922834
Exeter,24,1,Exeter,City,,Barry County,90711,23122,29,821,2923122
Farmington,3,1,Farmington,City,Farmington,Saint Francois County,139212,23752,29,18269,2923752
Fayette,20,1,Fayette,City,,Howard County,126007,23842,29,2694,2923842
Ferguson,31,1,Ferguson,City,St. Louis,Saint Louis County,70572,23986,29,20931,2923986
Florissant,31,1,Florissant,City,St. Louis,Saint Louis County,114730,24778,29,51744,2924778
Gladstone,18,1,Gladstone,City,Kansas City,Clay County,175005,27190,29,26995,2927190
Glen Echo Park,3,1,Glen Echo Park,City,St. Louis,Saint Louis County,122123,27370,29,134,2927370
Glendale,7,1,Glendale,City,St. Louis,Saint Louis County,399752,27334,29,5888,2927334
Grandview,25,1,Grandview,City,Kansas City,Jackson County,137256,28324,29,25174,2928324
Grantwood Village,4,1,Grantwood Village,City,St. Louis,Saint Louis County,372700,28630,29,1038,2928630
Greendale,15,1,Greendale,City,St. Louis,Saint Louis County,90605,29152,29,822,2929152
Hannibal,21,1,Hannibal,City,Hannibal,Marion County,107222,30214,29,17575,2930214
Herculaneum,13,1,Herculaneum,City,St. Louis,Jefferson County,171328,31708,29,3935,2931708
Hermann,14,1,Hermann,City,,Gasconade County,121878,31762,29,2422,2931762
Independence,20,1,Independence,City,Kansas City,Jackson County,131494,35000,29,117207,2935000
Jackson,25,1,Jackson,City,Cape Girardeau,Cape Girardeau County,186290,35648,29,14826,2935648
Jefferson City,22,1,Jefferson City,City,Jefferson City,Cole County,154762,37000,29,43013,2937000
Joplin,12,1,Joplin,City,Joplin,Jasper County,111828,37592,29,50073,2937592
Kansas City,32,1,Kansas City,City,Kansas City,Jackson County,159781,38000,29,481417,2938000
Kearney,7,1,Kearney,City,Kansas City,Clay County,260231,38072,29,9778,2938072
Kirksville,22,1,Kirksville,City,Kirksville,Adair County,108161,39026,29,17483,2939026
Kirkwood,30,1,Kirkwood,City,St. Louis,Saint Louis County,349554,39044,29,27693,2939044
Ladue,1,1,Ladue,City,St. Louis,Saint Louis County,914113,39656,29,8586,2939656
Lake Saint Louis,19,1,Lake Saint Louis,City,St. Louis,Saint Charles County,304819,NA,NA,NA,NA
Laurie,4,1,NA,NA,NA,NA,NA,40916,29,1024,2940916
Lebanon,2,1,Lebanon,City,Lebanon,Laclede County,104334,41168,29,14637,2941168
Liberty,16,1,Liberty,City,Kansas City,Clay County,216441,42032,29,30928,2942032
Manchester,2,1,Manchester,City,St. Louis,Saint Louis County,265200,45668,29,18189,2945668
Maplewood,21,1,Maplewood,City,St. Louis,Saint Louis County,192443,45830,29,8008,2945830
Marshfield,16,1,Marshfield,City,Springfield,Webster County,150328,46388,29,7226,2946388
Maryland Heights,19,1,Maryland Heights,City,St. Louis,Saint Louis County,183132,46586,29,27128,2946586
Maryville,22,1,Maryville,City,Maryville,Nodaway County,152458,46640,29,11771,2946640
Memphis,27,1,NA,NA,NA,NA,NA,47270,29,1803,2947270
Mexico,41,1,Mexico,City,Mexico,Audrain County,90450,47648,29,11544,2947648
Moberly,1,1,Moberly,City,Moberly,Randolph County,69845,49034,29,13762,2949034
Mountain View,21,1,Mountain View,City,West Plains,Howell County,116560,50438,29,2658,2950438
North Kansas City,23,1,North Kansas City,City,Kansas City,Clay County,151562,53102,29,4414,2953102
Northwoods,1,1,Northwoods,City,St. Louis,Saint Louis County,45913,53408,29,4148,2953408
O Fallon,17,1,O Fallon,City,St. Louis,Saint Charles County,258820,NA,NA,NA,NA
Ozark,13,1,Ozark,City,Springfield,Christian County,195468,55766,29,19418,2955766
Pagedale,4,1,Pagedale,City,St. Louis,Saint Louis County,30175,55964,29,3291,2955964
Paris,3,1,Paris,City,,Monroe County,104010,56144,29,1445,2956144
Parkville,30,1,Parkville,City,Kansas City,Platte County,438579,56288,29,6524,2956288
Pasadena Hills,4,1,Pasadena Hills,City,St. Louis,Saint Louis County,199141,56396,29,994,2956396
Peculiar,6,1,Peculiar,City,Kansas City,Cass County,236657,56756,29,5006,2956756
